Run;MethodName;Duration(ms)
1;InsertParentWithChildren;613.9939
1;GetParentsWithChildren;683.2117
1;UpdateParentWithChildren;132.5312
1;DeleteParentWithChildren;98.5554
2;InsertParentWithChildren;22.8877
2;GetParentsWithChildren;6.0310
2;UpdateParentWithChildren;24.4639
2;DeleteParentWithChildren;21.7689
3;InsertParentWithChildren;22.0540
3;GetParentsWithChildren;2.2189
3;UpdateParentWithChildren;22.7105
3;DeleteParentWithChildren;22.2335
4;InsertParentWithChildren;20.6007
4;GetParentsWithChildren;2.6904
4;UpdateParentWithChildren;41.9053
4;DeleteParentWithChildren;34.3253
5;InsertParentWithChildren;21.3186
5;GetParentsWithChildren;2.0968
5;UpdateParentWithChildren;22.8399
5;DeleteParentWithChildren;20.9604
6;InsertParentWithChildren;20.3895
6;GetParentsWithChildren;2.0713
6;UpdateParentWithChildren;18.8555
6;DeleteParentWithChildren;21.4649
7;InsertParentWithChildren;20.8558
7;GetParentsWithChildren;2.0923
7;UpdateParentWithChildren;18.2569
7;DeleteParentWithChildren;20.3909
8;InsertParentWithChildren;20.6780
8;GetParentsWithChildren;1.9487
8;UpdateParentWithChildren;18.5474
8;DeleteParentWithChildren;11.5808
9;InsertParentWithChildren;20.7190
9;GetParentsWithChildren;2.1106
9;UpdateParentWithChildren;19.5017
9;DeleteParentWithChildren;20.5383
10;InsertParentWithChildren;36.6166
10;GetParentsWithChildren;2.1480
10;UpdateParentWithChildren;19.3311
10;DeleteParentWithChildren;20.9216
11;InsertParentWithChildren;10.4964
11;GetParentsWithChildren;2.1045
11;UpdateParentWithChildren;18.8943
11;DeleteParentWithChildren;21.5772
12;InsertParentWithChildren;21.3925
12;GetParentsWithChildren;2.7297
12;UpdateParentWithChildren;18.7642
12;DeleteParentWithChildren;20.9973
13;InsertParentWithChildren;20.4153
13;GetParentsWithChildren;2.1543
13;UpdateParentWithChildren;18.9027
13;DeleteParentWithChildren;21.1977
14;InsertParentWithChildren;20.5584
14;GetParentsWithChildren;2.2516
14;UpdateParentWithChildren;18.9414
14;DeleteParentWithChildren;21.6014
15;InsertParentWithChildren;10.3940
15;GetParentsWithChildren;2.1662
15;UpdateParentWithChildren;35.8979
15;DeleteParentWithChildren;10.6733
16;InsertParentWithChildren;9.9414
16;GetParentsWithChildren;2.1140
16;UpdateParentWithChildren;11.4350
16;DeleteParentWithChildren;11.3175
17;InsertParentWithChildren;9.8474
17;GetParentsWithChildren;2.1933
17;UpdateParentWithChildren;20.8386
17;DeleteParentWithChildren;12.7120
18;InsertParentWithChildren;10.6711
18;GetParentsWithChildren;2.2729
18;UpdateParentWithChildren;9.8957
18;DeleteParentWithChildren;20.1647
19;InsertParentWithChildren;15.5186
19;GetParentsWithChildren;2.3730
19;UpdateParentWithChildren;23.0638
19;DeleteParentWithChildren;21.5673
20;InsertParentWithChildren;9.9470
20;GetParentsWithChildren;2.1101
20;UpdateParentWithChildren;19.0341
20;DeleteParentWithChildren;11.0619
21;InsertParentWithChildren;10.7345
21;GetParentsWithChildren;2.1031
21;UpdateParentWithChildren;19.1263
21;DeleteParentWithChildren;21.1541
22;InsertParentWithChildren;20.3148
22;GetParentsWithChildren;2.2554
22;UpdateParentWithChildren;17.6897
22;DeleteParentWithChildren;21.5456
23;InsertParentWithChildren;20.9345
23;GetParentsWithChildren;2.2125
23;UpdateParentWithChildren;18.4839
23;DeleteParentWithChildren;21.0798
24;InsertParentWithChildren;21.1905
24;GetParentsWithChildren;2.0136
24;UpdateParentWithChildren;14.1585
24;DeleteParentWithChildren;30.6818
25;InsertParentWithChildren;20.5180
25;GetParentsWithChildren;1.9879
25;UpdateParentWithChildren;19.4208
25;DeleteParentWithChildren;22.1420
26;InsertParentWithChildren;9.5692
26;GetParentsWithChildren;2.0315
26;UpdateParentWithChildren;20.5228
26;DeleteParentWithChildren;22.4904
