Run;MethodName;Duration(ms);MemoryUsed(bytes)
1;InsertParentWithChildren;56,9063;124408
1;GetParentsWithChildren;23,5650;36928
1;UpdateParentWithChildren;19,1186;61600
1;DeleteParentWithChildren;7,3376;20480
2;InsertParentWithChildren;6,4622;20448
2;GetParentsWithChildren;1,0898;20432
2;UpdateParentWithChildren;5,9952;28632
2;DeleteParentWithChildren;6,5000;20336
3;InsertParentWithChildren;6,0447;24648
3;GetParentsWithChildren;0,8233;16448
3;UpdateParentWithChildren;7,8310;24584
3;DeleteParentWithChildren;4,1890;16448
4;InsertParentWithChildren;7,1268;24648
4;GetParentsWithChildren;0,8883;16448
4;UpdateParentWithChildren;7,4623;24584
4;DeleteParentWithChildren;3,6285;16448
5;InsertParentWithChildren;5,1524;24648
5;GetParentsWithChildren;0,7203;16448
5;UpdateParentWithChildren;5,6058;24584
5;DeleteParentWithChildren;3,9106;16448
6;InsertParentWithChildren;6,9654;24648
6;GetParentsWithChildren;0,8104;16448
6;UpdateParentWithChildren;5,7762;24584
6;DeleteParentWithChildren;2,9348;16448
7;InsertParentWithChildren;5,0922;24648
7;GetParentsWithChildren;0,7421;16448
7;UpdateParentWithChildren;7,0262;24584
7;DeleteParentWithChildren;5,1456;16448
8;InsertParentWithChildren;5,4246;24648
8;GetParentsWithChildren;0,7321;16448
8;UpdateParentWithChildren;6,5442;28632
8;DeleteParentWithChildren;6,2985;16448
9;InsertParentWithChildren;5,9355;24648
9;GetParentsWithChildren;0,7957;16448
9;UpdateParentWithChildren;7,8025;24584
9;DeleteParentWithChildren;6,2003;24672
10;InsertParentWithChildren;5,3750;24648
10;GetParentsWithChildren;0,9219;16448
10;UpdateParentWithChildren;6,7639;24584
10;DeleteParentWithChildren;2,8732;16448
11;InsertParentWithChildren;5,2244;24648
11;GetParentsWithChildren;0,7377;16448
11;UpdateParentWithChildren;5,5151;24584
11;DeleteParentWithChildren;5,5440;16448
12;InsertParentWithChildren;7,4367;24648
12;GetParentsWithChildren;0,8212;16448
12;UpdateParentWithChildren;5,9028;28632
