Run;MethodName;Duration(ms);MemoryUsed(bytes)
1;InsertParentWithChildren;196,6501;715488
1;GetParentsWithChildren;262,3560;2421944
1;UpdateParentWithChildren;38,3186;528320
1;DeleteParentWithChildren;32,4562;528320
2;InsertParentWithChildren;6,1505;49248
2;GetParentsWithChildren;2,5828;24632
2;UpdateParentWithChildren;5,2375;49304
2;DeleteParentWithChildren;4,1824;53000
3;InsertParentWithChildren;4,9934;53352
3;GetParentsWithChildren;1,0661;20352
3;UpdateParentWithChildren;4,9287;53176
3;DeleteParentWithChildren;4,9767;53000
4;InsertParentWithChildren;6,0860;53352
4;GetParentsWithChildren;1,0748;20352
4;UpdateParentWithChildren;5,0836;53176
4;DeleteParentWithChildren;5,4320;57264
5;InsertParentWithChildren;5,1686;49224
5;GetParentsWithChildren;1,0479;20352
5;UpdateParentWithChildren;4,6714;53176
5;DeleteParentWithChildren;3,7676;57264
6;InsertParentWithChildren;5,0616;49224
6;GetParentsWithChildren;0,8909;24632
6;UpdateParentWithChildren;4,7694;53176
6;DeleteParentWithChildren;5,7904;57264
7;InsertParentWithChildren;5,6130;49224
7;GetParentsWithChildren;0,9348;24632
7;UpdateParentWithChildren;4,9493;53176
7;DeleteParentWithChildren;5,2290;57264
8;InsertParentWithChildren;5,6984;49224
8;GetParentsWithChildren;1,1810;20352
8;UpdateParentWithChildren;5,9949;53176
8;DeleteParentWithChildren;5,5799;57264
9;InsertParentWithChildren;6,1851;49224
9;GetParentsWithChildren;1,0270;24632
9;UpdateParentWithChildren;5,4736;53176
9;DeleteParentWithChildren;6,3281;57264
10;InsertParentWithChildren;6,2141;49224
10;GetParentsWithChildren;1,1318;24632
10;UpdateParentWithChildren;5,0605;53176
10;DeleteParentWithChildren;5,8930;57264
11;InsertParentWithChildren;5,1603;49224
11;GetParentsWithChildren;0,9506;24632
11;UpdateParentWithChildren;5,5323;49256
11;DeleteParentWithChildren;5,1557;57264
12;InsertParentWithChildren;6,2177;49224
12;GetParentsWithChildren;1,1324;24632
